# Copyright (c) 2012, ClearCanvas Inc.
# All rights reserved.
# http://www.clearcanvas.ca
#
# generated from DICOM standard
# columns are in the same order as parameters to the DicomTag constructor
# eg. tag;name;varName;vr;isMultiVrTag;vmLow;vmHigh;isRetired
#
2;Affected SOP Class UID;AffectedSopClassUid;UI;False;1;1;False
3;Requested SOP Class UID;RequestedSopClassUid;UI;False;1;1;False
256;Command Field;CommandField;US;False;1;1;False
272;Message ID;MessageId;US;False;1;1;False
288;Message ID Being Responded To;MessageIdBeingRespondedTo;US;False;1;1;False
1536;Move Destination;MoveDestination;AE;False;1;1;False
1792;Priority;Priority;US;False;1;1;False
2048;Data Set Type;DataSetType;US;False;1;1;False
2304;Status;Status;US;False;1;1;False
2305;Offending Element;OffendingElement;AT;False;1;4294967295;False
2306;Error Comment;ErrorComment;LO;False;1;1;False
2307;Error ID;ErrorId;US;False;1;1;False
4096;Affected SOP Instance UID;AffectedSopInstanceUid;UI;False;1;1;False
4097;Requested SOP Instance UID;RequestedSopInstanceUid;UI;False;1;1;False
4098;Event Type ID;EventTypeId;US;False;1;1;False
4101;Attribute Identifier List;AttributeIdentifierList;AT;False;1;4294967295;False
4104;Action Type ID;ActionTypeId;US;False;1;1;False
4128;Number of Remaining Sub-operations;NumberOfRemainingSubOperations;US;False;1;1;False
4129;Number of Completed Sub-operations;NumberOfCompletedSubOperations;US;False;1;1;False
4130;Number of Failed Sub-operations;NumberOfFailedSubOperations;US;False;1;1;False
4131;Number of Warning Sub-operations;NumberOfWarningSubOperations;US;False;1;1;False
4144;Move Originator Application Entity Title;MoveOriginatorApplicationEntityTitle;AE;False;1;1;False
4145;Move Originator Message ID;MoveOriginatorMessageId;US;False;1;1;False
131072;File Meta Information Group Length;FileMetaInformationGroupLength;UL;False;1;1;False
131073;File Meta Information Version;FileMetaInformationVersion;OB;False;1;1;False
131074;Media Storage SOP Class UID;MediaStorageSopClassUid;UI;False;1;1;False
131075;Media Storage SOP Instance UID;MediaStorageSopInstanceUid;UI;False;1;1;False
131088;Transfer Syntax UID;TransferSyntaxUid;UI;False;1;1;False
131090;Implementation Class UID;ImplementationClassUid;UI;False;1;1;False
131091;Implementation Version Name;ImplementationVersionName;SH;False;1;1;False
131094;Source Application Entity Title;SourceApplicationEntityTitle;AE;False;1;1;False
131328;Private Information Creator UID;PrivateInformationCreatorUid;UI;False;1;1;False
131330;Private Information;PrivateInformation;OB;False;1;1;False
266544;File-set ID;FileSetId;CS;False;1;1;False
266561;File-set Descriptor File ID;FileSetDescriptorFileId;CS;False;1;8;False
266562;Specific Character Set of File-set Descriptor File;SpecificCharacterSetOfFileSetDescriptorFile;CS;False;1;1;False
266752;Offset of the First Directory Record of the Root Directory Entity;OffsetOfTheFirstDirectoryRecordOfTheRootDirectoryEntity;UL;False;1;1;False
266754;Offset of the Last Directory Record of the Root Directory Entity;OffsetOfTheLastDirectoryRecordOfTheRootDirectoryEntity;UL;False;1;1;False
266770;File-set Consistency Flag;FileSetConsistencyFlag;US;False;1;1;False
266784;Directory Record Sequence;DirectoryRecordSequence;SQ;False;1;1;False
267264;Offset of the Next Directory Record;OffsetOfTheNextDirectoryRecord;UL;False;1;1;False
267280;Record In-use Flag;RecordInUseFlag;US;False;1;1;False
267296;Offset of Referenced Lower-Level Directory Entity;OffsetOfReferencedLowerLevelDirectoryEntity;UL;False;1;1;False
267312;Directory Record Type;DirectoryRecordType;CS;False;1;1;False
267314;Private Record UID;PrivateRecordUid;UI;False;1;1;False
267520;Referenced File ID;ReferencedFileId;CS;False;1;8;False
267524;MRDR Directory Record Offset;MrdrDirectoryRecordOffsetRetired;UL;False;1;1;True
267536;Referenced SOP Class UID in File;ReferencedSopClassUidInFile;UI;False;1;1;False
267537;Referenced SOP Instance UID in File;ReferencedSopInstanceUidInFile;UI;False;1;1;False
267538;Referenced Transfer Syntax UID in File;ReferencedTransferSyntaxUidInFile;UI;False;1;1;False
267546;Referenced Related General SOP Class UID in File;ReferencedRelatedGeneralSopClassUidInFile;UI;False;1;4294967295;False
267776;Number of References;NumberOfReferencesRetired;UL;False;1;1;True
524289;Length to End;LengthToEndRetired;UL;False;1;1;True
524293;Specific Character Set;SpecificCharacterSet;CS;False;1;4294967295;False
524294;Language Code Sequence;LanguageCodeSequence;SQ;False;1;1;False
524296;Image Type;ImageType;CS;False;2;4294967295;False
524304;Recognition Code;RecognitionCodeRetired;SH;False;1;1;True
524306;Instance Creation Date;InstanceCreationDate;DA;False;1;1;False
524307;Instance Creation Time;InstanceCreationTime;TM;False;1;1;False
524308;Instance Creator UID;InstanceCreatorUid;UI;False;1;1;False
524310;SOP Class UID;SopClassUid;UI;False;1;1;False
524312;SOP Instance UID;SopInstanceUid;UI;False;1;1;False
524314;Related General SOP Class UID;RelatedGeneralSopClassUid;UI;False;1;4294967295;False
524315;Original Specialized SOP Class UID;OriginalSpecializedSopClassUid;UI;False;1;1;False
524320;Study Date;StudyDate;DA;False;1;1;False
524321;Series Date;SeriesDate;DA;False;1;1;False
524322;Acquisition Date;AcquisitionDate;DA;False;1;1;False
524323;Content Date;ContentDate;DA;False;1;1;False
524324;Overlay Date;OverlayDateRetired;DA;False;1;1;True
524325;Curve Date;CurveDateRetired;DA;False;1;1;True
524330;Acquisition DateTime;AcquisitionDatetime;DT;False;1;1;False
524336;Study Time;StudyTime;TM;False;1;1;False
524337;Series Time;SeriesTime;TM;False;1;1;False
524338;Acquisition Time;AcquisitionTime;TM;False;1;1;False
524339;Content Time;ContentTime;TM;False;1;1;False
524340;Overlay Time;OverlayTimeRetired;TM;False;1;1;True
524341;Curve Time;CurveTimeRetired;TM;False;1;1;True
524352;Data Set Type;DataSetTypeRetired;US;False;1;1;True
524353;Data Set Subtype;DataSetSubtypeRetired;LO;False;1;1;True
524354;Nuclear Medicine Series Type;NuclearMedicineSeriesTypeRetired;CS;False;1;1;True
524368;Accession Number;AccessionNumber;SH;False;1;1;False
524369;Issuer of Accession Number Sequence;IssuerOfAccessionNumberSequence;SQ;False;1;1;False
524370;Query/Retrieve Level;QueryRetrieveLevel;CS;False;1;1;False
524372;Retrieve AE Title;RetrieveAeTitle;AE;False;1;4294967295;False
524374;Instance Availability;InstanceAvailability;CS;False;1;1;False
524376;Failed SOP Instance UID List;FailedSopInstanceUidList;UI;False;1;4294967295;False
524384;Modality;Modality;CS;False;1;1;False
524385;Modalities in Study;ModalitiesInStudy;CS;False;1;4294967295;False
524386;SOP Classes in Study;SopClassesInStudy;UI;False;1;4294967295;False
524388;Conversion Type;ConversionType;CS;False;1;1;False
524392;Presentation Intent Type;PresentationIntentType;CS;False;1;1;False
524400;Manufacturer;Manufacturer;LO;False;1;1;False
524416;Institution Name;InstitutionName;LO;False;1;1;False
524417;Institution Address;InstitutionAddress;ST;False;1;1;False
524418;Institution Code Sequence;InstitutionCodeSequence;SQ;False;1;1;False
524432;Referring Physician's Name;ReferringPhysiciansName;PN;False;1;1;False
524434;Referring Physician's Address;ReferringPhysiciansAddress;ST;False;1;1;False
524436;Referring Physician's Telephone Numbers;ReferringPhysiciansTelephoneNumbers;SH;False;1;4294967295;False
524438;Referring Physician Identification Sequence;ReferringPhysicianIdentificationSequence;SQ;False;1;1;False
524544;Code Value;CodeValue;SH;False;1;1;False
524546;Coding Scheme Designator;CodingSchemeDesignator;SH;False;1;1;False
524547;Coding Scheme Version;CodingSchemeVersion;SH;False;1;1;False
524548;Code Meaning;CodeMeaning;LO;False;1;1;False
524549;Mapping Resource;MappingResource;CS;False;1;1;False
524550;Context Group Version;ContextGroupVersion;DT;False;1;1;False
524551;Context Group Local Version;ContextGroupLocalVersion;DT;False;1;1;False
524555;Context Group Extension Flag;ContextGroupExtensionFlag;CS;False;1;1;False
524556;Coding Scheme UID;CodingSchemeUid;UI;False;1;1;False
524557;Context Group Extension Creator UID;ContextGroupExtensionCreatorUid;UI;False;1;1;False
524559;Context Identifier;ContextIdentifier;CS;False;1;1;False
524560;Coding Scheme Identification Sequence;CodingSchemeIdentificationSequence;SQ;False;1;1;False
524562;Coding Scheme Registry;CodingSchemeRegistry;LO;False;1;1;False
524564;Coding Scheme External ID;CodingSchemeExternalId;ST;False;1;1;False
524565;Coding Scheme Name;CodingSchemeName;ST;False;1;1;False
524566;Coding Scheme Responsible Organization;CodingSchemeResponsibleOrganization;ST;False;1;1;False
524567;Context UID;ContextUid;UI;False;1;1;False
524801;Timezone Offset From UTC;TimezoneOffsetFromUtc;SH;False;1;1;False
528384;Network ID;NetworkIdRetired;AE;False;1;1;True
528400;Station Name;StationName;SH;False;1;1;False
528432;Study Description;StudyDescription;LO;False;1;1;False
528434;Procedure Code Sequence;ProcedureCodeSequence;SQ;False;1;1;False
528446;Series Description;SeriesDescription;LO;False;1;1;False
528447;Series Description Code Sequence;SeriesDescriptionCodeSequence;SQ;False;1;1;False
528448;Institutional Department Name;InstitutionalDepartmentName;LO;False;1;1;False
528456;Physician(s) of Record;PhysiciansOfRecord;PN;False;1;4294967295;False
528457;Physician(s) of Record Identification Sequence;PhysiciansOfRecordIdentificationSequence;SQ;False;1;1;False
528464;Performing Physician's Name;PerformingPhysiciansName;PN;False;1;4294967295;False
528466;Performing Physician Identification Sequence;PerformingPhysicianIdentificationSequence;SQ;False;1;1;False
528480;Name of Physician(s) Reading Study;NameOfPhysiciansReadingStudy;PN;False;1;4294967295;False
528482;Physician(s) Reading Study Identification Sequence;PhysiciansReadingStudyIdentificationSequence;SQ;False;1;1;False
528496;Operators' Name;OperatorsName;PN;False;1;4294967295;False
528498;Operator Identification Sequence;OperatorIdentificationSequence;SQ;False;1;1;False
528512;Admitting Diagnoses Description;AdmittingDiagnosesDescription;LO;False;1;4294967295;False
528516;Admitting Diagnoses Code Sequence;AdmittingDiagnosesCodeSequence;SQ;False;1;1;False
528528;Manufacturer's Model Name;ManufacturersModelName;LO;False;1;1;False
528640;Referenced Results Sequence;ReferencedResultsSequenceRetired;SQ;False;1;1;True
528656;Referenced Study Sequence;ReferencedStudySequence;SQ;False;1;1;False
528657;Referenced Performed Procedure Step Sequence;ReferencedPerformedProcedureStepSequence;SQ;False;1;1;False
528661;Referenced Series Sequence;ReferencedSeriesSequence;SQ;False;1;1;False
528672;Referenced Patient Sequence;ReferencedPatientSequence;SQ;False;1;1;False
528677;Referenced Visit Sequence;ReferencedVisitSequence;SQ;False;1;1;False
528688;Referenced Overlay Sequence;ReferencedOverlaySequenceRetired;SQ;False;1;1;True
528692;Referenced Stereometric Instance Sequence;ReferencedStereometricInstanceSequence;SQ;False;1;1;False
528698;Referenced Waveform Sequence;ReferencedWaveformSequence;SQ;False;1;1;False
528704;Referenced Image Sequence;ReferencedImageSequence;SQ;False;1;1;False
528709;Referenced Curve Sequence;ReferencedCurveSequenceRetired;SQ;False;1;1;True
528714;Referenced Instance Sequence;ReferencedInstanceSequence;SQ;False;1;1;False
528715;Referenced Real World Value Mapping Instance Sequence;ReferencedRealWorldValueMappingInstanceSequence;SQ;False;1;1;False
528720;Referenced SOP Class UID;ReferencedSopClassUid;UI;False;1;1;False
528725;Referenced SOP Instance UID;ReferencedSopInstanceUid;UI;False;1;1;False
